Subsystem: AS_SUB_HULL_ARKHULL1
	Name: #AS_SUB_HULL_ARKHULL
	Tags: Applied:Hull, Category:Hulls, NoCore
	Hull: Flagship
	EvaluationOrder: -100
	HexLimit := 999999999
	FreeHexLimit := 0
	GridWidth := 50
	GridHeight := 50
	Ship.ExternalHexes := 0
	Ship.HexSize := ShipSize / (HexLimit - FreeHexLimit)
	Hex.Mass := 0
	Hex.MaintainCost := 0
	Hex.BuildCost := 0
	Hex.LaborCost := 0.1 * ShipSize
	Repair := (ShipSize / HexLimit) * 8
	AddPostModifier: AddMass(ShipSize * (1.0 - min(max((ShipTotalHexes - Ship.ExternalHexes) / Sum.HexLimit, 0.0), 1.0)))
	OnCheckErrors: designs::checkGlobalDesign
	AddShipModifier: SupplyCostFactor(0)
	AddShipModifier: DamageFactor(0.05)
	AddShipModifier: ArmorResistFactor(0.2)
	AddShipModifier: RepairFactor(0.2)
	AddShipModifier: MaintCostFactor(0)
	AddShipModifier: RangeFactor(0.35)
	AddShipModifier: ThrustFactor(0.6)
	Hook: AddCargoStorage(999999999)

Subsystem: AS_SUB_HULL_ARKHULL2
	Name: #AS_SUB_HULL_ARKHULL2
	Tags: Applied:Hull, Category:Hulls, NoCore
	Hull: Flagship
	EvaluationOrder: -100
	HexLimit := 999999999
	FreeHexLimit := 0
	GridWidth := 65
	GridHeight := 65
	Ship.ExternalHexes := 0
	Ship.HexSize := ShipSize / (HexLimit - FreeHexLimit)
	Hex.Mass := 0
	Hex.MaintainCost := 0
	Hex.BuildCost := 0
	Hex.LaborCost := 0.1 * ShipSize
	Repair := (ShipSize / HexLimit) * 8
	AddPostModifier: AddMass(ShipSize * (1.0 - min(max((ShipTotalHexes - Ship.ExternalHexes) / Sum.HexLimit, 0.0), 1.0)))
	OnCheckErrors: designs::checkGlobalDesign
	AddShipModifier: SupplyCostFactor(0)
	AddShipModifier: DamageFactor(0.05)
	AddShipModifier: ArmorResistFactor(0.2)
	AddShipModifier: RepairFactor(0.2)
	AddShipModifier: MaintCostFactor(0)
	AddShipModifier: RangeFactor(0.35)
	AddShipModifier: ThrustFactor(0.6)
	Hook: AddCargoStorage(999999999)

Subsystem: AS_SUB_HULL_ARKHULL3
	Name: #AS_SUB_HULL_ARKHULL3
	Tags: Applied:Hull, Category:Hulls, NoCore
	Hull: Flagship
	EvaluationOrder: -100
	HexLimit := 999999999
	FreeHexLimit := 0
	GridWidth := 80
	GridHeight := 80
	Ship.ExternalHexes := 0
	Ship.HexSize := ShipSize / (HexLimit - FreeHexLimit)
	Hex.Mass := 0
	Hex.MaintainCost := 0
	Hex.BuildCost := 0
	Hex.LaborCost := 0.1 * ShipSize
	Repair := (ShipSize / HexLimit) * 8
	AddPostModifier: AddMass(ShipSize * (1.0 - min(max((ShipTotalHexes - Ship.ExternalHexes) / Sum.HexLimit, 0.0), 1.0)))
	OnCheckErrors: designs::checkGlobalDesign
	AddShipModifier: SupplyCostFactor(0)
	AddShipModifier: DamageFactor(0.05)
	AddShipModifier: ArmorResistFactor(0.2)
	AddShipModifier: RepairFactor(0.2)
	AddShipModifier: MaintCostFactor(0)
	AddShipModifier: RangeFactor(0.35)
	AddShipModifier: ThrustFactor(0.6)
	Hook: AddCargoStorage(999999999)

Subsystem: AS_SUB_HULL_ARKHULL4
	Name: #AS_SUB_HULL_ARKHULL4
	Tags: Applied:Hull, Category:Hulls, NoCore
	Hull: Flagship
	EvaluationOrder: -100
	HexLimit := 999999999
	FreeHexLimit := 0
	GridWidth := 50
	GridHeight := 50
	Ship.ExternalHexes := 0
	Ship.HexSize := ShipSize / (HexLimit - FreeHexLimit)
	Hex.Mass := 0
	Hex.MaintainCost := 0
	Hex.BuildCost := 0
	Hex.LaborCost := 0.1 * ShipSize
	Repair := (ShipSize / HexLimit) * 8
	AddPostModifier: AddMass(ShipSize * (1.0 - min(max((ShipTotalHexes - Ship.ExternalHexes) / Sum.HexLimit, 0.0), 1.0)))
	OnCheckErrors: designs::checkGlobalDesign
	AddShipModifier: SupplyCostFactor(0)
	AddShipModifier: DamageFactor(0.05)
	AddShipModifier: ArmorResistFactor(0.2)
	AddShipModifier: RepairFactor(0.2)
	AddShipModifier: MaintCostFactor(0)
	AddShipModifier: RangeFactor(0.35)
	AddShipModifier: ThrustFactor(0.6)
	Hook: AddCargoStorage(999999999)
